feature_set,n_predictions,MAE,RMSE,mean_error_bias,median_absolute_error,max_absolute_error
All features,201,1.2684786069576124,1.609494773547839,-0.3709717921984401,1.0106032673300012,4.061451112403323
Mutation + Sequence,201,1.3622867731514097,1.7638096580014706,-0.1863693412300166,1.0214609831133323,4.769514035643325
Mutation + Biological,201,1.38744516455677,1.7607459782627846,-0.4342183168748744,1.1287437118797805,5.058196018085541
Mutation only,201,1.3997522521931325,1.7814737741734596,-0.4372353967896494,1.1287437118797805,5.336704845948679
Mutation + Local Context,201,1.50098499412597,1.82250719520491,-0.37346108000434464,1.2180740478533345,5.097402808893332
