repeat,fold,n,MAE,RMSE,R2,bias,extreme_mae,positive_mae,n_extreme,n_positive
1,1,159,1.4744830923304968,1.9682766607285622,-0.04305772085297055,0.3149977205292077,2.914650299352387,0.9852364910135101,30,4
1,2,156,1.4844238712768534,2.0241831797574905,-0.062208989629467304,0.21157867979359424,3.3024033093956375,1.5118491418130027,28,6
1,3,158,1.520723381589407,1.9947983566701988,0.06515956822393965,0.2544021809455904,2.924795599022006,1.5499822107981958,33,12
1,4,166,1.395382371933196,1.9438848569342053,-0.005513262215027792,0.2173861247820785,3.278917421512239,1.1300467644446421,28,7
1,5,149,1.5209869701402128,1.9950458252387158,0.03804833688419995,0.4191388958246871,3.2955030518552175,1.224580084317989,32,10
2,1,159,1.5131777697610789,2.0361328453523684,0.07362450093265427,0.9006978836193373,3.0302736606901663,1.0717465575947573,43,8
2,2,164,1.4505421617693062,1.994464863940994,-0.11647077477967427,0.3243875336590059,3.373862675903067,1.3272269480544818,27,8
2,3,159,1.2990450392753459,1.8085200008850582,0.0713546053111751,0.002313418281039807,3.3259867217542523,1.345095991318959,25,8
2,4,148,1.6089706716123042,2.105557163912479,-0.10309932077818451,0.07269045835495258,3.0148785034506145,1.2607478752038548,29,6
2,5,158,1.3635497830672965,1.7939235550568227,0.1626045193513983,0.25660264709649616,2.934987153238003,1.527498936864396,27,9
3,1,166,1.3811916637171855,1.848225799736427,0.07142860503469828,0.09987154715418091,2.6594048567147017,1.2819856836123207,26,8
3,2,147,1.3165504594573312,1.754379808224597,0.2111739746707142,0.12497444454800045,2.6801341649374164,1.057911007342941,27,8
3,3,151,1.660848162376457,2.187190032789645,-0.1345149384440001,0.6744951618941617,3.623272175492986,1.4039254204651017,33,5
3,4,161,1.471971731826306,1.8978489224188417,0.0827623575607126,0.14550385682060613,2.9362349038787805,1.4267581460336758,33,13
3,5,163,1.5434055756276386,2.210564191821564,-0.23468807361030342,0.5761747207992548,3.9603422026902315,0.8884906823286645,32,5
