metric,mean,std,min,max,median
MAE,1.4670168470506944,0.10218924065778762,1.2990450392753459,1.660848162376457,1.4744830923304968
RMSE,1.9708664042311979,0.1354483964257919,1.754379808224597,2.210564191821564,1.994464863940994
R2,0.005106892510657627,0.12009597686758633,-0.23468807361030342,0.2111739746707142,0.03804833688419995
bias,0.3063476849401463,0.24570795914689847,0.002313418281039807,0.9006978836193373,0.2544021809455904
extreme_mae,3.1503764466591795,0.3499821017148736,2.6594048567147017,3.9603422026902315,3.0302736606901663
positive_mae,1.2662054627470996,0.20479940633659108,0.8884906823286645,1.5499822107981958,1.2819856836123207
