model,n_features,MAE,RMSE,R2,bias,median_absolute_error,max_absolute_error,extreme_mae,extreme_rmse,extreme_bias,positive_mae,n_extreme,n_positive
HistGradientBoosting,145,1.2710448862415349,1.6311196699936026,0.14594833844015476,-0.18422745220400844,1.0070764178293392,4.154981685876321,2.6497467114610496,2.8350913220765217,2.6497467114610496,1.5170940111474287,26,15
Random Forest,145,1.2768255605914525,1.5688264091213548,0.2099359968568908,-0.34925963201105525,1.0592017723000016,3.762646766137999,2.4781080425733815,2.5616436456292266,2.4781080425733815,1.8049798549142673,26,15
Extra Trees Weighted,145,1.2925012814531347,1.6055586214940538,0.17250605254035256,-0.3199239391405975,1.0680574725519936,3.8519868846079994,2.584948834675766,2.671666361257519,2.584948834675766,1.760509523619867,26,15
Extra Trees,145,1.3052295339276618,1.620379649780311,0.1571582260443969,-0.3064201555057516,1.0323926018640013,3.952653908490001,2.649555748647305,2.740442390882045,2.649555748647305,1.759379376590934,26,15
Random Forest Weighted,145,1.4220584658637807,1.6948800583529486,0.07787365115245326,-0.6767748101020511,1.277653516534001,4.013572202668019,2.157097577000533,2.2501011385736307,2.157097577000533,2.123827847661067,26,15
