method,n_folds,MAE_mean,MAE_std,MAE_min,MAE_max,MAE_median,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,RMSE_median,R2_mean,R2_std,R2_min,R2_max,R2_median,bias_mean,bias_std,bias_min,bias_max,bias_median,median_abs_error_mean,median_abs_error_std,median_abs_error_min,median_abs_error_max,median_abs_error_median,max_abs_error_mean,max_abs_error_std,max_abs_error_min,max_abs_error_max,max_abs_error_median,extreme_MAE_mean,extreme_MAE_std,extreme_MAE_min,extreme_MAE_max,extreme_MAE_median,positive_MAE_mean,positive_MAE_std,positive_MAE_min,positive_MAE_max,positive_MAE_median
locked_hgb,15,1.4670168470506944,0.10218924065778762,1.2990450392753459,1.660848162376457,1.4744830923304968,1.9708664042311979,0.1354483964257919,1.754379808224597,2.210564191821564,1.994464863940994,0.005106892510657627,0.12009597686758633,-0.23468807361030342,0.2111739746707142,0.03804833688419995,0.3063476849401463,0.24570795914689847,0.002313418281039807,0.9006978836193373,0.2544021809455904,1.041517489942067,0.1275722555192816,0.8565427232192021,1.2523679925374185,1.0628775122974867,5.225400409543085,0.26209369924673,4.701948196669314,5.622012163037551,5.26438258657159,3.1503764466591795,0.3499821017148736,2.6594048567147017,3.9603422026902315,3.0302736606901663,1.2662054627470996,0.20479940633659108,0.8884906823286645,1.5499822107981958,1.2819856836123207
mean_baseline,15,1.7263598273824328,0.06305528886757777,1.6538307163520174,1.9033953786317606,1.713067945861448,1.9941951706805012,0.07554628984735415,1.9111712791709843,2.1984393917130207,1.9830704896779967,-0.015046677754754434,0.02114655026325173,-0.07995046351277746,-0.00022700125930064097,-0.009285135303960246,0.0019044026155430078,0.25414538288182525,-0.3701485867056723,0.5981678574546698,0.03509564546736983,1.6351691400268877,0.051212292199046223,1.5143395206899841,1.7097231686868044,1.6279988828111112,3.6867588599731116,0.05121229219904625,3.6122048313131954,3.8075884793100157,3.6939291171888886,3.5133581171966375,0.06398280417435659,3.4001897599984394,3.6139350944881783,3.5099000308028683,2.046010789036397,0.15314419268486418,1.8683980123628774,2.350489507629823,1.97382157312656
median_baseline,15,1.5770398513171655,0.14449985677874155,1.3874527340243903,1.9713734571320756,1.5633574382822084,2.166420080714447,0.1837644406119652,1.9071892081655015,2.594682372436126,2.1908486262491276,-0.19834347838001545,0.13553990155430837,-0.504330440347494,-0.03273961941665293,-0.21146987238483073,0.834683593275764,0.3375495461450665,0.339574581981132,1.502346711144654,0.9086496927784811,0.8246121715666666,0.13698846499741357,0.666666667,1.0,0.7801377145000001,4.519538050633332,0.14322083469731237,4.321928,4.711767333,4.561652571,4.346137307856859,0.14369671699370956,4.071928,4.523948201696968,4.415819237656249,1.2132315983761761,0.22233485968887007,0.9375000002499999,1.5833333332500001,1.16138771425
