feature,eta_squared_position,n_unique,mean,std
right_2_S,1.0000000000000004,2,0.05864509605662285,0.23495924915851324
left_2_K,1.0000000000000004,2,0.03640040444893832,0.18728431596076597
original_H,1.0000000000000004,2,0.025278058645096056,0.15696839935551082
original_I,1.0000000000000004,2,0.06167846309403438,0.24057063470921014
left_1_C,1.0000000000000004,2,0.010111223458038422,0.10004492300072021
left_1_F,1.0000000000000004,2,0.01820020222446916,0.13367481013062102
right_1_K,1.0000000000000004,2,0.03640040444893832,0.18728431596076597
left_2_C,1.0000000000000004,2,0.010111223458038422,0.10004492300072021
left_2_A,1.0000000000000004,2,0.09302325581395349,0.29046502318132084
original_A,1.0000000000000002,2,0.09302325581395349,0.29046502318132084
right_1_R,1.0000000000000002,2,0.06167846309403438,0.24057063470921014
right_1_Q,1.0000000000000002,2,0.029322548028311426,0.16870902822741526
left_2_R,1.0000000000000002,2,0.06471183013144591,0.24601668474411403
right_1_G,1.0000000000000002,2,0.08291203235591507,0.27574921078133074
right_1_F,1.0000000000000002,2,0.016177957532861477,0.1261595466975306
original_polarity,1.0000000000000002,18,8.518907987866532,2.585210409639824
left_1_I,1.0000000000000002,2,0.057633973710819006,0.2330499920298639
left_1_N,1.0000000000000002,2,0.030333670374115267,0.17150375743915872
left_1_M,1.0000000000000002,2,0.030333670374115267,0.17150375743915872
left_1_L,1.0000000000000002,2,0.11830131445904954,0.3229645699706248
right_2_D,1.0000000000000002,2,0.05864509605662285,0.23495924915851327
left_1_H,1.0000000000000002,2,0.0262891809908999,0.15999393724053299
original_C,1.0000000000000002,2,0.007077856420626896,0.08383173843548686
left_2_V,1.0000000000000002,2,0.042467138523761376,0.20165237580887815
left_2_M,1.0000000000000002,2,0.03640040444893832,0.18728431596076597
right_1_T,1.0000000000000002,2,0.08291203235591507,0.27574921078133074
right_1_P,1.0000000000000002,2,0.04954499494438827,0.21700296869017438
right_2_E,1.0000000000000002,2,0.08088978766430738,0.2726657842779887
right_2_Q,1.0000000000000002,2,0.027300303336703743,0.1629570396590086
local_aromatic_fraction,1.0000000000000002,4,0.04870239298955174,0.10283997418195912
local_polar_fraction,1.0000000000000002,5,0.21713852376137513,0.19487104450403017
right_2_Y,1.0000000000000002,2,0.016177957532861477,0.1261595466975306
original_P,1.0000000000000002,2,0.047522750252780584,0.2127541737808977
original_Q,1.0000000000000002,2,0.03134479271991911,0.17424780253783523
original_R,1.0000000000000002,2,0.05864509605662285,0.23495924915851327
original_T,1.0000000000000002,2,0.08291203235591507,0.27574921078133074
right_2_H,1.0000000000000002,2,0.019211324570273004,0.13726707390532017
left_2_S,1.0000000000000002,2,0.06471183013144591,0.246016684744114
right_2_P,1.0000000000000002,2,0.034378159757330634,0.182198523289927
right_2_N,1.0000000000000002,2,0.030333670374115267,0.17150375743915872
right_2_M,1.0,2,0.03943377148634985,0.1946246365512655
left_2_T,1.0,2,0.07381193124368049,0.26146458660736194
local_mean_charge,1.0,12,-0.014871924502864845,0.2353706268515437
local_mean_polarity,1.0,144,8.541734074823053,1.339096910969602
local_mean_hydrophobicity,1.0,166,-0.2530333670374115,1.5598174525361899
left_2_W,1.0,2,0.00910010111223458,0.09495940854903052
right_1_S,1.0,2,0.0525783619817998,0.2231902279068477
local_charged_fraction,1.0,6,0.24915739804516346,0.21353711420855204
left_1_E,1.0,2,0.06572295247724974,0.24779718722157223
right_2_K,1.0,2,0.043478260869565216,0.20393111999232305
local_hydrophobic_fraction,1.0,6,0.4037748567576677,0.2395045922393445
right_2_L,1.0,2,0.11324570273003033,0.3168929054794568
right_1_N,1.0,2,0.028311425682507583,0.16586105286754765
right_1_D,1.0,2,0.06572295247724974,0.24779718722157223
left_1_K,1.0,2,0.044489383215369056,0.20617972256379893
right_1_M,1.0,2,0.03943377148634985,0.1946246365512655
right_2_V,1.0,2,0.047522750252780584,0.21275417378089773
right_1_L,1.0,2,0.1102123356926188,0.3131542379623758
left_1_P,1.0,2,0.05358948432760364,0.22520579809832866
left_1_Q,1.0,2,0.027300303336703743,0.1629570396590086
left_1_V,1.0,2,0.0455005055611729,0.20839915919900104
left_1_W,1.0,2,0.010111223458038422,0.10004492300072021
left_1_Y,1.0,2,0.014155712841253791,0.11813267386802753
right_1_A,1.0,2,0.09908998988877654,0.2987828037096826
right_2_R,1.0,2,0.07482305358948432,0.2631056142332001
left_1_A,1.0,2,0.09706774519716886,0.2960499924666548
left_2_Q,1.0,2,0.028311425682507583,0.16586105286754765
original_D,1.0,2,0.06167846309403438,0.24057063470921014
original_W,1.0,2,0.011122345803842264,0.10487439738879083
original_N,1.0,2,0.03134479271991911,0.17424780253783523
original_L,1.0,2,0.10414560161779575,0.3054493334113911
original_G,1.0,2,0.07684529828109202,0.26634582484653674
original_F,1.0,2,0.024266936299292215,0.15387674321332093
original_molecular_weight,1.0,19,127.52563195146614,27.57749634175123
original_hydrophobicity,1.0,17,-0.20839231547017192,3.01970949656782
left_2_I,1.0,2,0.055611729019211326,0.22917038337164147
left_2_L,1.0,2,0.12740141557128412,0.3334220971707141
left_2_G,1.0,2,0.08088978766430738,0.2726657842779887
local_small_fraction,0.9999999999999999,5,0.32077856420626893,0.2369879675638228
right_2_A,0.9999999999999999,2,0.10414560161779575,0.30544933341139113
local_mean_molecular_weight,0.9999999999999999,225,127.68099089989889,15.159539114172084
right_2_I,0.9999999999999999,2,0.05358948432760364,0.22520579809832866
left_1_D,0.9999999999999999,2,0.05965621840242669,0.23684879988792146
original_K,0.9999999999999999,2,0.0455005055611729,0.20839915919900107
original_V,0.9999999999999999,2,0.05358948432760364,0.22520579809832866
original_charge,0.9999999999999999,4,-0.015672396359959553,0.4926220859560699
left_2_N,0.9999999999999999,2,0.032355915065722954,0.17694352157110096
left_2_D,0.9999999999999999,2,0.06370070778564206,0.24421901566677873
right_2_C,0.9999999999999998,2,0.005055611729019211,0.07092286316178031
left_2_Y,0.9999999999999998,2,0.017189079878665317,0.1299754415710529
right_1_W,0.9999999999999998,2,0.014155712841253791,0.11813267386802753
right_2_T,0.9999999999999998,2,0.07684529828109202,0.26634582484653674
original_S,0.9999999999999998,2,0.056622851365015166,0.23112054012638206
right_2_W,0.9999999999999998,2,0.01820020222446916,0.13367481013062105
right_2_F,0.9999999999999998,2,0.014155712841253791,0.11813267386802755
original_M,0.9999999999999998,2,0.043478260869565216,0.20393111999232305
right_2_G,0.9999999999999998,2,0.07583417593528817,0.2647326079188281
right_1_Y,0.9999999999999998,2,0.016177957532861477,0.1261595466975306
original_Y,0.9999999999999998,2,0.01314459049544995,0.11389385512904936
right_1_H,0.9999999999999998,2,0.021233569261880688,0.1441620782254529
left_1_G,0.9999999999999998,2,0.0788675429726997,0.26953191580617886
left_2_H,0.9999999999999998,2,0.014155712841253791,0.11813267386802755
right_1_E,0.9999999999999998,2,0.07785642062689585,0.2679455138532155
right_1_C,0.9999999999999998,2,0.005055611729019211,0.07092286316178031
original_E,0.9999999999999998,2,0.07077856420626896,0.2564545945292617
left_1_S,0.9999999999999998,2,0.056622851365015166,0.23112054012638206
left_1_T,0.9999999999999998,2,0.07482305358948432,0.2631056142332001
right_1_V,0.9999999999999997,2,0.05156723963599596,0.22115166613055334
left_1_R,0.9999999999999997,2,0.08088978766430738,0.2726657842779887
left_2_F,0.9999999999999997,2,0.029322548028311426,0.16870902822741526
left_2_P,0.9999999999999997,2,0.043478260869565216,0.20393111999232305
left_2_E,0.9999999999999996,2,0.07684529828109202,0.26634582484653674
right_1_I,0.9999999999999996,2,0.056622851365015166,0.23112054012638206
delta_molecular_weight,0.605627536471278,127,1.2421840242669366,36.03438618524995
delta_charge,0.5937030035770926,9,0.05156723963599596,0.6468951049618664
delta_hydrophobicity,0.4687347912390852,101,0.07633973710819006,3.8124704046454716
delta_polarity,0.4645558547311771,105,-0.1488372093023256,3.0880098798398574
new_vs_local_molecular_weight,0.4627587259375386,928,1.0868250758341789,30.873490665993263
new_vs_local_polarity,0.39068962188688827,566,-0.1716632962588473,2.894786113331861
new_vs_local_charge,0.37011419608471924,25,0.05076676777890124,0.5195469031638191
new_vs_local_hydrophobicity,0.35804095814252535,556,0.12098078867542973,3.468234938423885
new_W,0.2877987742594484,2,0.010111223458038422,0.10004492300072021
new_molecular_weight,0.27830531541583553,19,128.76781597573307,26.63751252825856
new_Q,0.27512851594944665,2,0.03134479271991911,0.17424780253783523
new_H,0.2676465856612916,2,0.03741152679474216,0.18976802801744144
new_C,0.25506588799041624,2,0.03538928210313448,0.18476168654609984
new_F,0.25398706896551726,2,0.029322548028311426,0.16870902822741524
new_E,0.24699007726990835,2,0.042467138523761376,0.20165237580887815
new_P,0.24692758253461133,2,0.05055611729019211,0.21908947098099546
new_M,0.24268384273772206,2,0.032355915065722954,0.17694352157110096
new_T,0.2280525247946817,2,0.06774519716885744,0.2513081483545849
new_D,0.22013630593930808,2,0.04853387259858443,0.21489145122402797
new_G,0.2194547328913417,2,0.05864509605662285,0.23495924915851327
new_Y,0.21878881987577636,2,0.023255813953488372,0.15071489996297352
new_N,0.21455461293743366,2,0.046511627906976744,0.21059035204970736
new_R,0.2094359454494064,2,0.06167846309403438,0.24057063470921014
new_K,0.2084747260516083,2,0.046511627906976744,0.21059035204970736
new_I,0.2048380656371073,2,0.06774519716885744,0.2513081483545849
new_L,0.1994358419358419,2,0.06572295247724974,0.24779718722157223
new_A,0.19686562465276491,2,0.05864509605662285,0.23495924915851327
new_polarity,0.1941807293623006,18,8.370070778564207,2.5171954829007612
new_S,0.19192416675074833,2,0.08897876643073811,0.28471309340317014
new_V,0.19090767699390312,2,0.09706774519716886,0.29604999246665487
new_hydrophobicity,0.18356486041380182,17,-0.13205257836198175,3.0753979796658157
new_charge,0.17963866183901359,4,0.0358948432760364,0.4552532746156048
